filename time point wordno word wordpoint ST hz
meseltel 2.0074 125 word13 el 5 3.75 124.16
meseltel 2.0230 126 word13 el 6 3.69 123.79
meseltel 2.0387 127 word13 el 7 3.78 124.39
meseltel 2.0544 128 word13 el 8 3.94 125.58
meseltel 2.0700 129 word13 el 9 4.31 128.30
meseltel 2.0857 130 word13 el 10 5.20 135.08
meseltel 2.1133 131 word14 tel 1 7.52 154.47
meseltel 2.1409 132 word14 tel 2 9.09 169.10
meseltel 2.1685 133 word14 tel 3 8.43 162.72
meseltel 2.1961 134 word14 tel 4 6.22 143.29
meseltel 2.2238 135 word14 tel 5 3.15 119.99
meseltel 2.2514 136 word14 tel 6 0.80 104.76
meseltel 2.2790 137 word14 tel 7 -0.92 94.81
meseltel 2.3066 138 word14 tel 8 -1.34 92.54
meseltel 2.3342 139 word14 tel 9 -1.29 92.81
meseltel 2.3618 140 word14 tel 10 --undefined-- --undefined--
mesz 0.1799 1 word1 mesz 1 -1.01 94.33
mesz 0.2284 2 word1 mesz 2 -2.24 87.88
mesz 0.2769 3 word1 mesz 3 -1.79 90.20
mesz 0.3254 4 word1 mesz 4 3.19 120.32
mesz 0.3738 5 word1 mesz 5 9.10 169.16
mesz 0.4223 6 word1 mesz 6 --undefined-- --undefined--
mesz 0.4708 7 word1 mesz 7 --undefined-- --undefined--
mesz 0.5193 8 word1 mesz 8 --undefined-- --undefined--
mesz 0.5678 9 word1 mesz 9 --undefined-- --undefined--
mesz 0.6163 10 word1 mesz 10 --undefined-- --undefined--
odamesz 0.1448 1 word1 o 1 --undefined-- --undefined--
odamesz 0.1533 2 word1 o 2 --undefined-- --undefined--
odamesz 0.1619 3 word1 o 3 --undefined-- --undefined--
odamesz 0.1704 4 word1 o 4 --undefined-- --undefined--
odamesz 0.1789 5 word1 o 5 --undefined-- --undefined--
odamesz 0.1874 6 word1 o 6 --undefined-- --undefined--
odamesz 0.1959 7 word1 o 7 --undefined-- --undefined--
odamesz 0.2045 8 word1 o 8 --undefined-- --undefined--
odamesz 0.2130 9 word1 o 9 -1.23 93.14
odamesz 0.2215 10 word1 o 10 -1.45 91.95
odamesz 0.2339 11 word2 da 1 -1.53 91.53
odamesz 0.2462 12 word2 da 2 -1.17 93.45
odamesz 0.2586 13 word2 da 3 -0.62 96.47
odamesz 0.2709 14 word2 da 4 -0.24 98.62
odamesz 0.2833 15 word2 da 5 -0.04 99.77
odamesz 0.2956 16 word2 da 6 0.12 100.68
odamesz 0.3080 17 word2 da 7 0.33 101.93
odamesz 0.3203 18 word2 da 8 0.59 103.49
odamesz 0.3327 19 word2 da 9 0.93 105.51
odamesz 0.3450 20 word2 da 10 1.45 108.71
odamesz 0.3953 21 word3 mesz 1 5.70 139.02
odamesz 0.4455 22 word3 mesz 2 8.86 166.87
odamesz 0.4958 23 word3 mesz 3 8.25 161.03
odamesz 0.5461 24 word3 mesz 4 3.57 122.94
odamesz 0.5963 25 word3 mesz 5 -0.70 96.07
odamesz 0.6466 26 word3 mesz 6 --undefined-- --undefined--
odamesz 0.6969 27 word3 mesz 7 --undefined-- --undefined--
odamesz 0.7471 28 word3 mesz 8 --undefined-- --undefined--
odamesz 0.7974 29 word3 mesz 9 --undefined-- --undefined--
odamesz 0.8476 30 word3 mesz 10 --undefined-- --undefined--
