filename phrasedur time point ST hz
mesz 0.4850 0.2930 20 -0.80 95.50
mesz 0.4850 0.3011 21 -0.02 99.92
mesz 0.4850 0.3092 22 0.94 105.63
mesz 0.4850 0.3173 23 2.03 112.51
mesz 0.4850 0.3254 24 3.19 120.32
mesz 0.4850 0.3334 25 4.36 128.71
mesz 0.4850 0.3415 26 5.47 137.24
mesz 0.4850 0.3496 27 6.49 145.53
mesz 0.4850 0.3577 28 7.42 153.51
mesz 0.4850 0.3658 29 8.29 161.42
mesz 0.4850 0.3738 30 9.10 169.16
mesz 0.4850 0.3819 31 9.77 175.88
mesz 0.4850 0.3900 32 --undefined-- --undefined--
mesz 0.4850 0.3981 33 --undefined-- --undefined--
mesz 0.4850 0.4062 34 --undefined-- --undefined--
mesz 0.4850 0.4143 35 --undefined-- --undefined--
mesz 0.4850 0.4223 36 --undefined-- --undefined--
mesz 0.4850 0.4304 37 --undefined-- --undefined--
mesz 0.4850 0.4385 38 --undefined-- --undefined--
mesz 0.4850 0.4466 39 --undefined-- --undefined--
mesz 0.4850 0.4547 40 --undefined-- --undefined--
mesz 0.4850 0.4628 41 --undefined-- --undefined--
mesz 0.4850 0.4708 42 --undefined-- --undefined--
mesz 0.4850 0.4789 43 --undefined-- --undefined--
mesz 0.4850 0.4870 44 --undefined-- --undefined--
mesz 0.4850 0.4951 45 --undefined-- --undefined--
mesz 0.4850 0.5032 46 --undefined-- --undefined--
mesz 0.4850 0.5113 47 --undefined-- --undefined--
mesz 0.4850 0.5193 48 --undefined-- --undefined--
mesz 0.4850 0.5274 49 --undefined-- --undefined--
mesz 0.4850 0.5355 50 --undefined-- --undefined--
mesz 0.4850 0.5436 51 --undefined-- --undefined--
mesz 0.4850 0.5517 52 --undefined-- --undefined--
mesz 0.4850 0.5598 53 --undefined-- --undefined--
mesz 0.4850 0.5678 54 --undefined-- --undefined--
mesz 0.4850 0.5759 55 --undefined-- --undefined--
mesz 0.4850 0.5840 56 --undefined-- --undefined--
mesz 0.4850 0.5921 57 --undefined-- --undefined--
mesz 0.4850 0.6002 58 --undefined-- --undefined--
mesz 0.4850 0.6083 59 --undefined-- --undefined--
mesz 0.4850 0.6163 60 --undefined-- --undefined--
odamesz 0.7113 0.1482 1 --undefined-- --undefined--
